Date,Institutions,Auth_Investigators
 2014-04-01 00:00:00-04,13,7
 2014-05-01 00:00:00-04,13,9
 2014-07-01 00:00:00-04,40,38
 2014-08-01 00:00:00-04,41,48
 2014-09-01 00:00:00-04,42,62
 2014-10-01 00:00:00-04,46,85
 2014-11-01 00:00:00-04,49,90
 2014-12-01 00:00:00-05,51,96
 2015-01-01 00:00:00-05,53,102
 2015-02-01 00:00:00-05,56,115
 2015-03-01 00:00:00-05,57,164
 2015-04-01 00:00:00-04,60,177
 2015-05-01 00:00:00-04,71,182
 2015-06-01 00:00:00-04,76,199
 2015-07-01 00:00:00-04,85,204
 2015-08-01 00:00:00-04,91,216
 2015-09-01 00:00:00-04,97,254
 2015-10-01 00:00:00-04,113,283
 2015-11-01 00:00:00-04,122,298
 2015-12-01 00:00:00-05,133,310
 2016-01-01 00:00:00-05,140,318
 2016-02-01 00:00:00-05,150,343
 2016-03-01 00:00:00-05,159,354
 2016-04-01 00:00:00-04,170,377
 2016-05-01 00:00:00-04,185,422
 2016-06-01 00:00:00-04,194,437
 2016-07-01 00:00:00-04,208,448
 2016-08-01 00:00:00-04,215,453
 2016-09-01 00:00:00-04,222,474
 2016-10-01 00:00:00-04,227,497
 2016-11-01 00:00:00-04,233,511
 2016-12-01 00:00:00-05,238,521
 2017-01-01 00:00:00-05,243,535
 2017-02-01 00:00:00-05,254,550
 2017-03-01 00:00:00-05,264,568
 2017-04-01 00:00:00-04,273,584
 2017-05-01 00:00:00-04,279,596
 2017-06-01 00:00:00-04,285,616
 2017-07-01 00:00:00-04,287,623
 2017-08-01 00:00:00-04,292,648
 2017-09-01 00:00:00-04,298,660
 2017-10-01 00:00:00-04,308,666
 2017-11-01 00:00:00-04,314,678
 2017-12-01 00:00:00-05,320,684
 2018-01-01 00:00:00-05,329,693
 2018-02-01 00:00:00-05,336,696
 2018-03-15 00:00:00-05,388,712
 2018-04-11 00:00:00-05,394,725
 2018-05-04 00:00:00-05,397,739
 2018-06-04 00:00:00-05,404,761
 2018-07-13 00:00:00-05,407,769
 2018-08-03 00:00:00-05,406,772
 2018-09-07 00:00:00-05,411,784
 2018-10-05 00:00:00-05,416,802
 2019-01-04 00:00:00-05,439,862
