date,shared_volumes,unshared_volumes
2017-12-01,94,426
2018-01-01,99,431
2018-02-01,105,433
2018-03-01,115,441
2018-04-01,142,444
2018-05-01,187,458
2018-06-01,202,461
2018-07-01,224,458
2018-08-01,236,460
2018-09-01,251,464
2018-10-01,265,473
2019-01-15,298,493
2019-02-01,307,493
2019-03-01,326,496
2019-03-20,333,495
2019-04-05,338,500
2019-04-10,339,501
2019-05-01,349,504
2019-05-10,354,507
2019-05-23,361,508
2019-06-12,337,512
2019-07-01,387,510
2019-07-19,388,514
2019-07-30,394,515
2019-08-05,398,515
2019-08-09,399,515
2019-08-19,406,515
2019-08-26,406,515
2019-09-03,408,515
2019-09-09,408,517
2019-09-16,418,520
2019-09-24,425,524
2019-10-01,431,524
2019-10-08,439,525
2019-10-14,439,525
2019-10-23,446,525
2019-10-30,453,526
2019-11-04,455,526
2019-11-20,458,527
2019-11-25,461,527
2019-12-03,462,527
2019-12-09,464,528
2019-12-16,466,528
2020-01-06,468,528
2020-01-14,470,529
2020-01-22,473,531
2020-01-28,476,531
2020-01-30,479,531
2020-02-03,479,532
2020-02-10,481,536
2020-02-18,485,536
2020-02-24,490,536
2020-03-02,493,536
2020-03-19,509,542
2020-03-23,513,542
2020-03-30,511,548
2020-04-14,522,550
2020-04-27,533,552
2020-05-04,533,552
2020-05-11,535,553
2020-05-18,538,553
2020-05-27,544,553
2020-06-08,545,554
2020-06-15,546,555
2020-06-23,547,555
2020-06-29,548,555
2020-07-20,556,553
2020-07-27,557,558
2020-08-03,557,561
2020-08-10,557,561
2020-08-18,564,563
2020-08-25,569,564
2020-08-31,575,561
2020-09-08,577,561
2020-09-14,577,561
2020-09-21,578,560
2020-09-28,584,559
2020-10-05,579,564
2020-10-15,585,566
2020-10-19,587,566
2020-10-27,596,566
2020-11-03,613,566
2020-11-09,619,567
2020-11-16,630,567
2020-11-23,634,569
2020-12-01,639,570
2020-12-07,641,570
2020-12-14,644,570
2020-12-21,652,570
2021-01-06,656,568
2021-01-11,657,568
2021-01-19,658,569
2021-01-25,659,569
2021-02-01,659,569
2021-02-08,663,571
2021-02-15,663,572
2021-02-23,667,572
2021-03-02,669,574
2021-03-22,680,571
2021-03-30,687,570
2021-04-06,687,570
2021-04-13,688,570
2021-04-19,690,571
2021-04-26,694,571
2021-05-03,695,571
2021-05-11,695,572
2021-06-14,705,573
2021-06-30,714,576
2021-08-16,730,580
2021-08-31,733,580
2021-09-07,733,580
2021-09-13,733,580
2021-10-04,739,582
2021-10-11,743,584
2021-10-18,744,584
2021-10-26,746,585
2021-11-01,747,585
2021-11-15,749,586
2021-11-22,758,588
2021-11-29,759,587
2021-12-06,762,588
2021-12-13,765,589
2022-01-10,774,587
2022-01-19,776,588
2022-01-24,776,590
2022-01-31,778,590
2022-02-07,776,594
2022-02-14,778,596
2022-02-22,783,596
2022-03-07,788,598
2022-03-15,794,599
2022-03-21,795,599
2022-03-28,796,602
2022-04-04,798,603
2022-04-11,800,603
2022-04-18,800,604
2022-04-26,803,605
2022-05-02,807,605
2022-05-09,808,606
2022-05-16,811,606
2022-05-24,817,606
2022-05-31,820,605
2022-06-07,822,605
2022-06-13,825,606
2022-07-11,835,608
2022-07-18,839,608
2022-07-25,849,608
2022-08-01,849,609
2022-08-16,852,611
2022-08-23,853,612
2022-08-29,855,612
2022-09-06,856,612
2022-09-12,856,612
2022-09-19,857,612
2022-09-26,859,616
2022-10-03,860,616
2022-10-10,862,616
2022-10-17,865,616
2022-10-24,866,617
2022-10-31,866,627
2022-11-07,870,627
2022-11-14,870,628
2022-11-21,872,630
2022-11-28,874,630
2022-12-05,876,629
2022-12-12,881,629
2022-12-19,882,630
2023-01-03,883,630
2023-01-09,883,631
2023-01-17,885,629
2023-01-23,887,630
2023-01-30,887,630
2023-02-06,888,630
2023-02-13,890,630
2023-03-02,895,631
2023-03-13,896,632
2023-03-30,901,634
2023-04-03,904,634
2023-04-12,904,639
2023-04-17,905,639
2023-04-24,906,640
2023-05-01,903,645
